,Cloud Top Height,Cloud Top Temperature,Cloud Top Phase,Shortwave Albedo,Long Wave Flux,Ice Water Path,Cloud Particle Size,RF
2018-02-24 02:19:30,2.429168701171875,0.42714843750002274,1.0,57.342308044433594,233.60740661621094,359.8535461425781,12.847905158996582,RF15
2018-02-24 02:19:40,2.6273765563964844,-0.9865783691406023,1.0,54.11136245727539,230.6391143798828,244.5264434814453,12.487107276916504,RF15
2018-02-24 02:19:50,2.4853553771972656,0.026391601562522737,1.0,58.763999938964844,232.82322692871094,461.5906677246094,14.078404426574707,RF15
2018-02-24 02:20:00,2.5457305908203125,-0.40424194335935226,1.0,62.173336029052734,231.83477783203125,558.0702514648438,11.247665405273438,RF15
2018-02-24 02:20:10,2.7023353576660156,-1.5212463378906023,1.0,60.538108825683594,229.34127807617188,327.156982421875,9.067367553710938,RF15
2018-02-24 02:20:20,2.7023353576660156,-1.5212463378906023,1.0,60.538108825683594,229.34127807617188,327.156982421875,9.067367553710938,RF15
2018-02-24 02:20:30,2.1852645874023438,2.1668334960937727,1.0,58.50042724609375,236.9719696044922,248.1629180908203,8.693756103515625,RF15
2018-02-24 02:20:40,2.0217819213867188,3.3329101562500227,1.0,59.71609878540039,239.42689514160156,337.6981201171875,9.953536987304688,RF15
2018-02-24 02:20:50,2.0217819213867188,3.3329101562500227,1.0,59.71609878540039,239.42689514160156,337.6981201171875,9.953536987304688,RF15
2018-02-24 02:21:00,1.8384590148925781,4.640496826171898,1.0,62.07246017456055,241.95263671875,420.1809387207031,8.608489990234375,RF15
2018-02-24 02:21:10,1.9846763610839844,3.5975585937500227,1.0,58.84659957885742,239.97735595703125,329.41326904296875,10.341461181640625,RF15
2018-02-24 02:21:20,1.9846763610839844,3.5975585937500227,1.0,58.84659957885742,239.97735595703125,329.41326904296875,10.341461181640625,RF15
2018-02-24 02:21:30,2.231536865234375,0.9776245117187727,1.0,39.17973327636719,236.71200561523438,81.64185333251953,11.672378540039062,RF15
2018-02-24 02:21:40,1.9691543579101562,2.8439270019531477,1.0,38.95916748046875,240.59954833984375,97.23648834228516,13.678380966186523,RF15
2018-02-24 02:21:50,1.87530517578125,3.5114685058593977,1.0,36.42442321777344,241.93247985839844,78.92921447753906,12.996350288391113,RF15
2018-02-24 02:22:00,1.87530517578125,3.5114685058593977,1.0,36.42442321777344,241.93247985839844,78.92921447753906,12.996350288391113,RF15
2018-02-24 02:22:10,1.8960914611816406,3.3636108398437727,1.0,49.98706817626953,241.59515380859375,189.3257598876953,12.741798400878906,RF15
2018-02-24 02:22:20,2.106731414794922,1.8653503417968977,1.0,49.97830581665039,238.64739990234375,243.93441772460938,16.047855377197266,RF15
2018-02-24 02:22:30,2.106731414794922,1.8653503417968977,1.0,49.97830581665039,238.64739990234375,243.93441772460938,16.047855377197266,RF15
2018-02-24 02:22:40,1.3995437622070312,6.895471191406273,1.0,22.779218673706055,248.66761779785156,55.156986236572266,20.52694320678711,RF15
